movie_title,person_name,production_budget,domestic_gross,roi_domestic,worldwide_gross,roi_worldwide,movie_id
Repo Men,Miguel Sapochnik,32000000.0,13942007.0,0.43568771875,18195238.0,0.5686011875,31867
The Karate Kid,Harald Zwart,40000000.0,176591618.0,4.41479045,351774938.0,8.79437345,38575
Diary of a Wimpy Kid,Thor Freudenthal,15000000.0,64003625.0,4.266908333333333,76954311.0,5.1302874,33217
The Crazies,Breck Eisner,19000000.0,39123589.0,2.0591362631578947,56445534.0,2.9708175789473685,29427
Little Fockers,Paul Weitz,100000000.0,148438600.0,1.484386,310650574.0,3.10650574,39451
Dear John,Lasse Hallström,25000000.0,80014842.0,3.20059368,142033509.0,5.68134036,22971
Legion,Scott Stewart,26000000.0,40168080.0,1.5449261538461538,67647574.0,2.6018297692307693,22894
Leap Year,Anand Tucker,19000000.0,25918920.0,1.3641536842105264,32618920.0,1.7167852631578948,25195
Fair Game,Doug Liman,50000000.0,11497497.0,0.22994994,26097497.0,0.52194994,38363
Green Zone,Paul Greengrass,100000000.0,35497337.0,0.35497337,97523020.0,0.9752302,22972
Remember Me,Allen Coulter,16000000.0,19068240.0,1.191765,56506120.0,3.5316325,23169
127 Hours,Danny Boyle,18000000.0,18335230.0,1.018623888888889,60217171.0,3.345398388888889,44115
Piranha 3D,Alexandre Aja,24000000.0,25003155.0,1.041798125,83660160.0,3.48584,43593
Valhalla Rising,Nicolas Winding Refn,5700000.0,30638.0,0.0053750877192982,731613.0,0.1283531578947368,37861
Edge of Darkness,Martin Campbell,60000000.0,43313890.0,0.7218981666666666,82812456.0,1.3802076,12201
Valentine's Day,Garry Marshall,52000000.0,110485654.0,2.1247241153846153,217569328.0,4.184025538461539,32856
The Next Three Days,Paul Haggis,30000000.0,21148651.0,0.7049550333333333,67255916.0,2.241863866666667,43539
Buried,Rodrigo Cortés,1987650.0,1044143.0,0.5253153221140543,21270290.0,10.701225064774986,26388
Gulliver's Travels,Rob Letterman,112000000.0,42779261.0,0.3819576875,232017848.0,2.0715879285714287,38745
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,100000000.0,55675313.0,0.55675313,139716717.0,1.39716717,41216
The Spy Next Door,Brian Levant,28000000.0,24307106.0,0.8681109285714286,46752858.0,1.6697449285714283,23172
Jackass 3D,Jeff Tremaine,20000000.0,117229692.0,5.8614846,171685793.0,8.58428965,16290
Morning Glory,Roger Michell,40000000.0,31011732.0,0.7752933,59795070.0,1.49487675,38357
Harry Brown,Daniel Barber,7300000.0,1818681.0,0.2491343835616438,12023606.0,1.6470693150684932,25941
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,85000000.0,43585753.0,0.5127735647058823,113026383.0,1.3297221529411765,39691
The Fighter,David O. Russell,11000000.0,93617009.0,8.510637181818181,129262388.0,11.75112618181818,45317
The Tourist,Florian Henckel von Donnersmarck,100000000.0,67631157.0,0.67631157,278731369.0,2.78731369,37710
Killers,Robert Luketic,75000000.0,47059963.0,0.6274661733333333,95572749.0,1.27430332,37821
You Again,Andy Fickman,20000000.0,25702053.0,1.28510265,32838945.0,1.64194725,38303
Devil,John Erick Dowdle,10000000.0,33679655.0,3.3679655,63354114.0,6.3354114,44040
The Losers,Sylvain White,25000000.0,23591432.0,0.94365728,29863840.0,1.1945536,34813
Animal Kingdom,David Michôd,4200000.0,1044039.0,0.2485807142857143,8078683.0,1.9234959523809525,44629
Monsters,Gareth Edwards,500000.0,237301.0,0.474602,5639730.0,11.27946,43933
Hot Tub Time Machine,Steve Pink,36000000.0,50269859.0,1.396384972222222,65967750.0,1.8324375,23048
Never Let Me Go,Mark Romanek,15000000.0,2434652.0,0.1623101333333333,11173718.0,0.7449145333333334,42188
It's Kind of a Funny Story,Anna Boden,8000000.0,6363628.0,0.7954535,6632950.0,0.82911875,43923
It's Kind of a Funny Story,Ryan Fleck,8000000.0,6363628.0,0.7954535,6632950.0,0.82911875,43923
Eat Pray Love,Ryan Murphy,60000000.0,80574010.0,1.342900166666667,206598789.0,3.44331315,38167
Sex and the City 2,Michael Patrick King,95000000.0,95347692.0,1.0036599157894737,294680778.0,3.1019029263157893,37786
Four Lions,Chris Morris,3750000.0,310007.0,0.0826685333333333,2436111.0,0.6496296,37495
The Bounty Hunter,Andy Tennant,45000000.0,67061228.0,1.4902495111111111,135808837.0,3.0179741555555557,27573
Winter's Bone,Debra Granik,2000000.0,6531503.0,3.2657515,16131551.0,8.0657755,39013
My Soul to Take,Wes Craven,25000000.0,14744435.0,0.5897774,16727470.0,0.6690988,43931
A Nightmare on Elm Street,Samuel Bayer,35000000.0,63075011.0,1.8021431714285712,117729621.0,3.363703457142857,23437
Flipped,Rob Reiner,14000000.0,1755212.0,0.1253722857142857,4289993.0,0.3064280714285714,43949
Let Me In,Matt Reeves,20000000.0,12134935.0,0.60674675,28270399.0,1.41351995,41402
Frozen,Adam Green,150000000.0,400738009.0,2.671586726666667,1272469910.0,8.483132733333333,44363
Enter the Void,Gaspar Noé,16000000.0,337997.0,0.0211248125,1467278.0,0.091704875,34647
Inside Job,Charles Ferguson,2000000.0,4311834.0,2.155917,7799257.0,3.8996285,44639
Carrie,Brian De Palma,30000000.0,35266619.0,1.1755539666666666,82409520.0,2.746984,7340
Charlie St. Cloud,Burr Steers,44000000.0,31206263.0,0.70923325,48478084.0,1.1017746363636365,37950
Furry Vengeance,Roger Kumble,35000000.0,17630465.0,0.5037275714285714,39340177.0,1.124005057142857,35169
Casino Jack,George Hickenlooper,12500000.0,2039869.0,0.16318952,2272186.0,0.18177488,45324
After.Life,Agnieszka Wojtowicz-Vosloo,4500000.0,108596.0,0.0241324444444444,2481925.0,0.5515388888888889,36419
Another Year,Mike Leigh,8000000.0,3205706.0,0.40071325,20005613.0,2.500701625,44009
Letters to Juliet,Gary Winick,30000000.0,53032453.0,1.767748433333333,82148538.0,2.7382846,37056
Rabbit Hole,John Cameron Mitchell,5000000.0,2229058.0,0.4458116,6205034.0,1.2410068,27585
Wild Target,Jonathan Lynn,8000000.0,109338.0,0.01366725,5314194.0,0.66427425,44147
The Last Exorcism,Daniel Stamm,1800000.0,41034350.0,22.79686111111111,70165900.0,38.98105555555556,38358
The Last Song,Julie Anne Robinson,20000000.0,62950384.0,3.1475192,92678948.0,4.6339474,35690
Yogi Bear,Eric Brevig,80000000.0,100246011.0,1.2530751375,204774690.0,2.559683625,41515
The Disappearance of Alice Creed,J Blakeson,1500000.0,166980.0,0.11132,1605139.0,1.0700926666666666,38542
Secretariat,Randall Wallace,35000000.0,59699513.0,1.7057003714285714,60376247.0,1.7250356285714286,39486
The American,Anton Corbijn,20000000.0,35606376.0,1.7803188,67950723.0,3.39753615,27579
Blue Valentine,Derek Cianfrance,1000000.0,9737892.0,9.737892,16566240.0,16.56624,46705
Vampires Suck,Aaron Seltzer,20000000.0,36661504.0,1.8330752,81424988.0,4.0712494,40264
Vampires Suck,Jason Friedberg,20000000.0,36661504.0,1.8330752,81424988.0,4.0712494,40264
Incendies,Denis Villeneuve,6800000.0,6857096.0,1.0083964705882351,16038343.0,2.358579852941177,46738
Takers,John Luessenhop,32000000.0,57744720.0,1.8045225,70587268.0,2.205852125,22907
Skyline,Colin Strause,10000000.0,21416355.0,2.1416355,68264973.0,6.8264973,42684
Skyline,Greg Strause,10000000.0,21416355.0,2.1416355,68264973.0,6.8264973,42684
Cop Out,Kevin Smith,37000000.0,44875481.0,1.2128508378378378,55909910.0,1.5110786486486487,23742
Chloe,Atom Egoyan,13000000.0,3075255.0,0.2365580769230769,11831131.0,0.910087,28211
Stake Land,Jim Mickle,4000000.0,33245.0,0.00831125,679482.0,0.1698705,52015
Burlesque,Steve Antin,55000000.0,39440655.0,0.7171028181818182,90552675.0,1.6464122727272728,42297
Ca$h,Stephen Milburn Anderson,13700000.0,0.0,0.0,11738256.0,0.8568070072992701,27004
Marmaduke,Tom Dey,50000000.0,33644788.0,0.67289576,89895930.0,1.7979186,38579
Get Him to the Greek,Nicholas Stoller,40000000.0,61153526.0,1.52883815,91455875.0,2.286396875,32823
Womb,Benedek Fliegauf,13000000.0,0.0,0.0,0.0,0.0,59457
The Kids Are All Right,Lisa Cholodenko,4000000.0,20811365.0,5.20284125,36275469.0,9.06886725,39781
